,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Normalized fare
0,1,0,3,0,22.0,1,0,7.25,-0.5021631365156045
1,2,1,1,1,38.0,1,0,71.2833,0.7864036178345388
2,3,1,3,1,26.0,0,0,7.925,-0.4885798515812602
3,4,1,1,1,35.0,1,0,53.1,0.4204940697654099
4,5,0,3,0,35.0,0,0,8.05,-0.48606442844527054
5,6,0,3,0,29.69911764705882,0,0,8.4583,-0.47784805031387384
6,7,0,1,0,54.0,0,0,51.8625,0.39559138071911193
7,8,0,3,0,2.0,3,1,21.075,-0.223957337675146
8,9,1,3,1,27.0,0,2,11.1333,-0.42401799520369476
9,10,1,2,1,14.0,1,0,30.0708,-0.04293139010125837
10,11,1,3,1,4.0,1,1,16.7,-0.3119971474347848
11,12,1,1,1,58.0,0,0,26.55,-0.11378180431879803
12,13,0,3,0,20.0,0,0,8.05,-0.48606442844527054
13,14,0,3,0,39.0,1,5,31.275,-0.018698809778388194
14,15,0,3,1,14.0,0,0,7.8542,-0.49000458724548485
15,16,1,2,1,55.0,0,0,16.0,-0.326083516996327
16,17,0,3,0,2.0,4,1,29.125,-0.061964087717410646
17,18,1,2,0,29.69911764705882,0,0,13.0,-0.38645367226007926
18,19,0,3,1,31.0,1,0,18.0,-0.2858367468204921
19,20,1,3,1,29.69911764705882,0,0,7.225,-0.5026662211428025
20,21,0,2,0,35.0,0,0,26.0,-0.12484966611715263
21,22,1,2,0,34.0,0,0,13.0,-0.38645367226007926
22,23,1,3,1,15.0,0,0,8.0292,-0.48648299485509927
23,24,1,1,0,28.0,0,0,35.5,0.066322492218063
24,25,0,3,1,8.0,3,1,21.075,-0.223957337675146
25,26,1,3,1,38.0,1,5,31.3875,-0.016434928955997467
26,27,0,3,0,29.69911764705882,0,0,7.225,-0.5026662211428025
27,28,0,1,0,19.0,3,2,263.0,4.644392599719279
28,29,1,3,1,29.69911764705882,0,0,7.8792,-0.48950150261828684
29,30,0,3,0,29.69911764705882,0,0,7.8958,-0.48916745442582743
30,31,0,1,0,40.0,0,0,27.7208,-0.09022134505786429
31,32,1,1,1,29.69911764705882,1,0,146.5208,2.3004368033867273
32,33,1,3,1,29.69911764705882,0,0,7.75,-0.4921014439716458
33,34,0,2,0,66.0,0,0,10.5,-0.4367621349798729
34,35,0,1,0,28.0,1,0,82.1708,1.00549697297924
35,36,0,1,0,42.0,1,0,52.0,0.39835834616870064
36,37,1,3,0,29.69911764705882,0,0,7.2292,-0.5025817029254332
37,38,0,3,0,21.0,0,0,8.05,-0.48606442844527054
38,39,0,3,1,18.0,2,0,18.0,-0.2858367468204921
39,40,1,3,1,14.0,1,0,11.2417,-0.42183662026016444
40,41,0,3,1,40.0,1,0,9.475,-0.4573886046949882
41,42,0,2,1,27.0,1,0,21.0,-0.2254665915567398
42,43,0,3,0,29.69911764705882,0,0,7.8958,-0.48916745442582743
43,44,1,2,1,3.0,1,2,41.5792,0.18865657484453066
44,45,1,3,1,19.0,0,0,7.8792,-0.48950150261828684
45,46,0,3,0,29.69911764705882,0,0,8.05,-0.48606442844527054
46,47,0,3,0,29.69911764705882,1,0,15.5,-0.3361452095402857
47,48,1,3,1,29.69911764705882,0,0,7.75,-0.4921014439716458
